row_number,trigger_phrase,suggested_status,when_not_to_use,correction_source
101,will make deposit,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
102,ready to deposit,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
103,ready to proceed,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
104,wants to deposit,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
105,wants to proceed,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
106,want to deposit,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
107,want to proceed,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
108,wants to invest,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
109,will do deposit,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
110,wants account,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
111,came online,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
112,interested,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Too broad alone. Do not fire on bare ""interested"". Require deposit/callback context in another rule.",generated_from_data23_and_conversation|correct_audit_61|conflict_i_tag_backfill_2026-09-07
113,asked about market and fees,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If financial inability, refusal, or unsupported language overrides",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
114,potentiality of the market,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If financial inability, refusal, or unsupported language overrides",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
115,investment opportunities,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If financial inability, refusal, or unsupported language overrides",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
116,market and the fees,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If financial inability, refusal, or unsupported language overrides",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
117,withdrawal,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If financial inability, refusal, or unsupported language overrides",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
118,client wanted to use upi,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
119,deblock with her daugther,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If customer refuses to continue after issue is explained,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
120,wants to create deblock,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If customer refuses to continue after issue is explained,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
121,currently in church,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
122,not ready to listen,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
123,call back later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
124,no money for now,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] No callback & soft open → Recall. Hard/permanent money → No Potential.,ai_output|prompt_sheet_align_2026-09-04|full700_prompt_audit|conflict_i_tag_backfill_2026-09-07
125,call tomorrow,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
126,waiting on salary,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
127,asked to be called back,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
128,still searching for funds,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
129,call me back,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Agent dial notes (cb:vm/cb na/call again rej). Hard money without funding plan → No Potential. Newest refusal → Recall.,curated_from_run523|correct_audit_61|conflict_i_tag_backfill_2026-09-07
130,call again,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Bare ""call again"" matches agent status paste / dial notes. Use concrete customer call-me rules instead.",curated_from_run523|correct_audit_61|conflict_i_tag_backfill_2026-09-07
131,talk later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,curated_from_run523|conflict_i_when_not_to_use_2026-09-07
132,back on monday,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,curated_from_run523|conflict_i_when_not_to_use_2026-09-07
133,next month,No Potential,[skip:soft_money_plan] Do not use for Call Again; next month is not a callback,curated_from_run523|conflict_i_tag_backfill_2026-09-07
134,make his deposit,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Deposit intent only. Not if newest is money block without plan, or only agent redial notes support callback.",curated_from_run523|correct_audit_61|conflict_i_tag_backfill_2026-09-07
135,called back,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,curated_from_run523|conflict_i_when_not_to_use_2026-09-07
136,call back,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Bare ""call back"" matches agent redial narration. Prefer ""call me back"" / timed customer asks.",curated_from_run523|correct_audit_61|conflict_i_tag_backfill_2026-09-07
137,depends on government,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
138,client called his son or grandson,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
139,hu after kyc,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
140,send me details on whatsapp,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
141,db 3 times for every slot,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
142,wants to speaks to her partner,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
143,hu after intro,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
144,call in 40 minutes,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
145,need 2 days,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
146,will talk to his wife,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
147,wanted to know his sc,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If newest is hard refuse/cancel/not interested → Recall. If no money hard with no plan → No Potential.,ai_output|full700_prompt_audit|conflict_i_tag_backfill_2026-09-07
148,will restart his phone,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
149,still has not received,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
150,he dont have the amount,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
151,wants to make more money,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
152,still waiting for someone,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
153,pu hu on intro,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
154,cb in half an hour,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
155,call me again at 6 ist,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
156,after intro no experience,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
157,call her later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
158,client is on another call,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
159,could not come on,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
160,ask for a cb later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
161,call customer care for more information,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
162,will cb before month,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
163,going to the bank,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
164,doesn't have money,No Potential,[skip:soft_money_plan] If salary soon / will arrange funds / concrete customer callback → Call Again; if first soft temporary no money now still open → Recall,ai_output|prompt_sheet_align_2026-09-04|conflict_i_tag_backfill_2026-09-07
165,cb at am for deposit,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If newest message is cancel/refuse → Recall. Agent-only cb notes do not qualify.,ai_output|full700_prompt_audit|conflict_i_tag_backfill_2026-09-07
166,only has 29k now,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
167,will get back to us,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
168,asked if i can speak english,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
169,said to cb later today,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
170,will check on her on thursday,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
171,asked for a cb,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If no real callback request,manual_fix|conflict_i_tag_backfill_2026-09-07
172,asked for call today,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] No customer callback → Recall (soft) or No Potential (hard).,ai_output|full700_prompt_audit|conflict_i_tag_backfill_2026-09-07
173,ask for a cb,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
174,do not currently have the capital,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
175,call her then,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
177,call was cut off,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
178,didn’t have the investment amount,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
179,pide que lo llame en 15minutos,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
180,call me tomrrow,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
181,send to me e-mail,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
182,wants to get a call,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
183,call me around 17:30,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
184,later hu,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
185,wants to think more,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
186,salary is coming tmr,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
187,wants to get a call,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
188,call around 15:30,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
189,asked to wait,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
190,ask for appointment,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
191,he will get back,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
192,does not have a card,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
193,refused to stay on the line,Recall,[skip:negation] First refusal day → Recall; second distinct day → No Interest. Genuine newest customer callback after a stale refusal may reopen Call Again.,ai_output|conflict_i_when_not_to_use_2026-09-07
194,school name in singapore,Wrong Number or Email,[skip:phone_alive] If customer refuses or is clearly not interested,telegram_approved|conflict_i_tag_backfill_2026-09-07
195,speaking vietnamese,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
196,she will make the transfer,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
197,call him at 12,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
198,72 years old,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
199,call him back,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
200,not now,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Hard refuse/cancel/not interested → Recall. Hard money no plan → No Potential.,telegram_approved|full700_prompt_audit|conflict_i_tag_backfill_2026-09-07
201,call me tmr,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
202,asked to be called,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
203,called later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
204,ill call him tonight again,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
206,wanted to think about it,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
207,waiting for salary,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
208,page come out blank,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
209,will apply for it,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
